job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job355,10000000,1,2,21960,14276,1609532241,1613391849,1613406125,gpuNode1
job272,150000000,20,0,72000,72002,1609488867,1613337803,1613409803,bigMemNode2
job356,10000000,1,2,21600,8015,1609532246,1613402786,1613410801,gpuNode1
job263,50000000,50,0,85800,85825,1609459458,1613327098,1613412898,computeNode1
job357,10000000,1,2,21960,7918,1609532246,1613406125,1613414043,gpuNode1
job353,10000000,1,2,21960,14079,1609532241,1613402775,1613416854,gpuNode1
job354,10000000,1,2,21960,14239,1609532241,1613402618,1613416857,gpuNode1
job359,10000000,1,2,21960,7977,1609532247,1613410801,1613418778,gpuNode1
job358,10000000,1,2,21960,9828,1609532247,1613414043,1613423871,gpuNode1
job360,10000000,1,2,21960,7957,1609532248,1613416854,1613424811,gpuNode1
job271,4000000,1,0,90000,90026,1609481965,1613337803,1613427803,computeNode1
job362,10000000,1,2,21960,18966,1609532254,1613418778,1613437744,gpuNode1
job361,10000000,1,2,21600,21617,1609532254,1613416857,1613438457,gpuNode1
job365,10000000,1,2,21960,18992,1609532255,1613423871,1613442863,gpuNode1
job364,10000000,1,2,21960,19030,1609532255,1613424811,1613443841,gpuNode1
job363,10000000,1,2,21960,19024,1609532255,1613437744,1613456768,gpuNode1
job366,10000000,1,2,21600,19299,1609532265,1613438457,1613457756,gpuNode1
job370,10000000,1,2,21960,19209,1609532265,1613442863,1613462072,gpuNode1
job369,10000000,1,2,21960,19159,1609532265,1613443841,1613463000,gpuNode1
job345,32000000,32,0,216000,95936,1609529699,1613374495,1613470431,computeNode3
job371,10000000,1,2,21600,9887,1609532270,1613462072,1613471959,gpuNode1
job375,10000000,1,2,21960,9898,1609532271,1613463000,1613472898,gpuNode1
job368,10000000,1,2,21960,19048,1609532265,1613456768,1613475816,gpuNode1
job557,10000000,1,0,86400,6,1609547330,1613475816,1613475822,computeNode5
job556,10000000,1,0,86400,6,1609547330,1613475816,1613475822,bigMemNode1
job469,10000000,1,0,82800,8,1609543881,1613475816,1613475824,computeNode4
job385,10000000,1,0,82800,8,1609535748,1613475816,1613475824,computeNode1
